RespondentID,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,"In a row of three seats, who should get to use the two arm rests?","In a row of two seats, who should get to use the middle arm rest?",Who should have control over the window shade?,Is itrude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words tothe stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is itrude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is itrude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to go to the bathroom?,Is itrude to wake a passenger up if you are trying to walk around?,"In general, is itrude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?",Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction?,Have you ever smoked a cigarette in an airplane bathroom when it was against the rules?,Gender,Age,Household Income,Education,Location (Census Region)
3436139758,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
3434278696,4.0,2.0,"6'3""",1.0,The arm rests should be shared,The arm rests should be shared,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,4.0,0.0
3434275578,4.0,1.0,"5'8""",0.0,Whoever puts their arm on the arm rest first,The arm rests should be shared,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1,3.0,3.0,0.0
3434268208,4.0,0.0,"5'11""",0.0,The arm rests should be shared,The arm rests should be shared,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1,0.0,3.0,0.0
3434250245,3.0,2.0,"5'7""",0.0,The person in the middle seat gets both arm rests,The person in aisle,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1,2.0,3.0,0.0
3434245875,4.0,1.0,"5'9""",1.0,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1,1.0,4.0,1.0
3434235351,3.0,3.0,"6'2""",1.0,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,4.0,2.0,0.0
3434218031,4.0,3.0,"6'0""",1.0,The arm rests should be shared,The arm rests should be shared,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1,0.0,3.0,2.0
3434213681,4.0,3.0,"6'0""",1.0,The arm rests should be shared,The arm rests should be shared,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
3434172894,4.0,4.0,"5'6""",0.0,Other (please specify),Other (please specify),1.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1,0.0,3.0,0.0
3434165659,3.0,1.0,"6'0""",0.0,The arm rests should be shared,The arm rests should be shared,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1,2.0,1.0,3.0
3434164339,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
3434161941,4.0,4.0,"5'7""",,The arm rests should be shared,The arm rests should be shared,0.0,1.0,1.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,
3434155493,5.0,,,,,,,,,,,,,,,,,,,,,0.0,1,3.0,2.0,0.0
3434132453,5.0,,,,,,,,,,,,,,,,,,,,,0.0,0,,1.0,4.0
3434131535,4.0,3.0,"6'0""",0.0,The arm rests should be shared,The arm rests should be shared,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0,4.0,2.0,5.0
3434125180,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
3434122066,4.0,0.0,"5'8""",1.0,The arm rests should be shared,The arm rests should be shared,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,3.0,2.0,6.0
3434114105,4.0,3.0,"6'1""",0.0,The arm rests should be shared,The arm rests should be shared,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,4.0,3.0,7.0
3434109246,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
3434107997,4.0,4.0,"5'10""",0.0,The arm rests should be shared,The arm rests should be shared,1.0,0.0,0.0,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3.0,4.0
3434100967,4.0,3.0,"5'7""",0.0,The arm rests should be shared,The arm rests should be shared,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,3.0,1.0
3434087928,5.0,,,,,,,,,,,,,,,,,,,,,0.0,0,2.0,3.0,1.0
3434084098,5.0,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,2.0,1.0
3434071488,5.0,,,,,,,,,,,,,,,,,,,,,0.0,0,2.0,3.0,0.0
3434061256,5.0,,,,,,,,,,,,,,,,,,,,,0.0,1,,1.0,6.0
3434059758,5.0,,,,,,,,,,,,,,,,,,,,,0.0,0,2.0,3.0,0.0
3434052290,4.0,3.0,"6'0""",0.0,The arm rests should be shared,Whoever puts their arm on the arm rest first,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1,1.0,3.0,1.0
