RespondentID,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,"In a row of three seats, who should get to use the two arm rests?","In a row of two seats, who should get to use the middle arm rest?",Who should have control over the window shade?,Is itrude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words tothe stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is itrude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is itrude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to go to the bathroom?,Is itrude to wake a passenger up if you are trying to walk around?,"In general, is itrude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?",Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction?,Have you ever smoked a cigarette in an airplane bathroom when it was against the rules?,Gender,Age,Household Income,Education,Location (Census Region)
3436139758.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3434278696.0,,,190.5,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,,4.0,0.0
3434275578.0,,,172.7,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,3.0,0.0
3434268208.0,,,180.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,3.0,0.0
3434250245.0,,,170.2,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,1.0,2.0,3.0,0.0
3434245875.0,,,175.3,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,1.0,4.0,1.0
3434235351.0,,,188.0,1.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,1.0,4.0,2.0,0.0
3434218031.0,,,182.9,1.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,1.0,0.0,3.0,2.0
3434213681.0,,,182.9,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
3434172894.0,,,167.6,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,1.0,0.0,3.0,0.0
3434165659.0,,,182.9,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,2.0,1.0,3.0
3434164339.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3434161941.0,,,170.2,,,,,,,,,,0.0,,,,,,,,,,,,,
3434155493.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0,2.0,0.0
3434132453.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,4.0
3434131535.0,,,182.9,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,4.0,2.0,5.0
3434125180.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3434122066.0,,,172.7,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,2.0,6.0
